,word,male,female,mean,surface
1,막일,76,69,72.5,막닐
2,삯일,67,66,66.5,상닐
3,큰일,52,50,51,큰닐
4,잡일,75,74,74.5,잠닐
5,헛일,94,89,91.5,헌닐
6,논일,81,84,82.5,논닐
7,솔잎,97,97,97,솔립
8,콩잎,88,97,92.5,콩닙
9,겹잎,80,79,79.5,겸닙
10,담요,99,97,98,담뇨
11,앞이마,78,83,80.5,암니마
12,솜이불,82,89,85.5,솜니불
13,윗입술,69,80,74.5,윈닙쑬
14,밤이슬,51,54,52.5,밤니슬
15,윗잇몸,50,58,54,윈닌몸
16,한여름,96,95,95.5,한녀름
17,늦여름,92,87,89.5,는녀름
18,첫여름,86,90,88,천녀름
19,덧양말,85,84,84.5,던냥말
20,숫염소,60,66,63,순념소
21,놋요강,90,90,90,논뇨강
22,궃은일,67,64,65.5,구즌닐
23,어린잎,94,95,94.5,어린닙
24,바깥일,96,92,94,바깐닐
25,세상일,70,64,67,세상닐
26,부엌일,77,87,82,부엉닐
27,예삿일,96,99,97.5,예산닐
28,막일꾼,63,51,57,망닐꾼
29,덧입다,65,56,60.5,던닙따
30,낯익다,59,68,63.5,난닉따
31,훝이불,84,92,88,훈니불
32,핫이불,67,68,67.5,한니불
33,짓이기다,89,93,91,진니기다
34,옛이야기,91,92,91.5,옌니야기
35,야금야금,87,99,93,야금냐금
36,얄팍얄팍,59,75,67,얄팡냘팍
37,기본양념,94,96,95,기본냥념
38,단풍잎,90,93,91.5,단풍닙
39,가랑잎,84,89,86.5,가랑닙
40,새벽일,66,81,73.5,새병닐
41,참죽잎,65,85,75,참중닙
42,덧입히다,77,74,75.5,던니피다
43,낯익히다,78,80,79,난니키다
44,아랫입술,97,97,97,아랜닙쑬
45,여름이불,84,86,85,여름니불
46,차렵이불,66,80,73,차렴니불
47,옛날이야기,82,77,79.5,옌날이야기
48,업신여기다,95,97,96,업씬녀기다
49,눈여겨보다,87,87,87,눈녀겨보다
50,섬유,53,57,55,섬뉴
51,강약,52,49,50.5,강냑
52,살육,69,60,64.5,살륙
53,금융,56,52,54,금늉
54,심야,56,44,50,심냐
55,극영화,57,51,54,긍녕화
56,핵융합,65,64,64.5,행늉압
57,면양말,81,93,87,면냥말
58,창유리,53,54,53.5,창뉴리
59,검열,74,61,67.5,검녈
60,단열,56,45,50.5,단녈
61,좀약,96,96,96,좀냑
62,전율,74,67,70.5,전뉼
63,분열,57,51,54,분녈
64,환율,78,74,76,환뉼
65,반열,65,40,52.5,반녈
66,산림욕,96,97,96.5,살림뇩
67,태평양,71,77,74,태평냥
68,한방약,57,63,60,한방냑
69,지식욕,81,89,85,지싱뇩
70,폭발약,95,95,95,폭발략
71,백분율,90,86,88,백분뉼
72,불문율,95,94,94.5,불문뉼
73,색유리,83,68,75.5,생뉴리
74,연이율,58,50,54,연니율
75,비상용,71,69,70,비상뇽
76,섬유질,60,49,54.5,섬뉴질
77,맹장염,69,68,68.5,맹장념
78,일광욕,59,64,61.5,일광뇩
79,구급약,91,99,95,구금냑
80,복막염,66,52,59,봉망념
81,상담역,92,92,92,상담녁
82,흑백영화,85,94,89.5,흑뱅녕와
83,후진양성,87,95,91,후진냥성
84,공업용수,90,97,93.5,공엄뇽수
85,어학연수,79,84,81.5,어앙년수
86,몽당연필,62,71,66.5,몽당년필
87,천생연분,60,72,66,천생년분
88,민족예술,74,82,78,민종녜술
89,삼국유사,90,89,89.5,삼국뉴사
90,수입예산,72,83,77.5,수임녜산
91,예행연습,57,71,64,예앵년습
92,일반예금,92,90,91,일반녜금
93,종합예술,92,96,94,종암녜술
94,집행유예,63,64,63.5,지팽뉴예
95,청약예금,83,85,84,청양녜금
96,통합야당,82,93,87.5,통암냐당
97,일품요리,89,99,94,일품뇨리
98,즉석요리,78,91,84.5,즉성뇨리
99,변칙영업,78,89,83.5,변칭녕업
100,생산요소,91,97,94,생산뇨소
101,약물요법,93,95,94,양물료법
102,외국영화,90,97,93.5,외궁녕화
103,전문용어,90,99,94.5,전문뇽어
104,주경야독,52,57,54.5,주경냐독
105,충격요법,80,92,86,충경뇨법
106,화공약품,53,67,60,화공냑품
107,남존여비,93,94,93.5,잠존녀비
108,직업여성,91,95,93,지검녀성
109,연말연시,89,97,93,연말련시
110,백팔염주,92,96,94,백팔렴주
111,선덕여왕,79,82,80.5,선덩녀왕
112,진성여왕,65,70,67.5,진성녀왕
113,징집연도,98,95,96.5,징짐년도
114,사업연도,89,95,92,사엄년도
115,윤락여성,83,80,81.5,윤랑녀성
116,민간요법,88,96,92,민간뇨법
117,만족양식,82,93,87.5,만종냥식
118,방탄유리,90,99,94.5,방탄뉴리
119,서양요리,54,69,61.5,서양뇨리
120,직육면체,84,82,83,징늉면체
121,변동환율,75,79,77,변동완뉼
122,호국영령,86,82,84,호궁녕령
123,바깥양반,92,95,93.5,바깐냥반
124,삼판양승,90,99,94.5,삼판냥승
125,수색영장,80,88,84,수생녕장
126,연전연승,90,96,93,연전년승
127,왕복열차,76,88,82,왕봉녈차
128,좁쌀영감,92,95,93.5,좁쌀령감
129,직렬연결,91,92,91.5,징녈련결
130,통학열차,88,81,84.5,통악녈차
131,부분일식,71,65,68,부분닐식
132,감언이설,53,51,52,가먼니설
133,수학여행,93,95,94,수앙녀앵
134,공공요금,59,69,64,공공뇨금
135,미풍양속,59,68,63.5,미풍냥속
136,야간열차,94,99,96.5,야간녈차
137,임파선염,79,81,80,임파선념
138,선임연구원,92,91,91.5,서님년구원
139,깻잎,0,0,0,깬닙
140,꽃잎,0,0,0,꼰닢
141,일단,0,0,0,일딴
142,장난감,0,0,0,장난깜
143,장난감이,0,0,0,장난까미
144,팔십,0,0,0,팔씹
145,물고기,0,0,0,물꼬기
146,웬일,0,0,0,웬닐
147,참다가,0,0,0,참따가
148,넘게,0,0,0,넘께
149,깜박,0,0,0,깜빡
150,먹지,0,0,0,먹찌
151,신겨,0,0,0,신껴
152,질색,0,0,0,질쌕
153,칠십,0,0,0,칠씹
154,안고,0,0,0,안꼬
